#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260803    14:31:41       0     29     44      -      0      0      0      0      0      0    405    210      0      0    470      5      0      -      -      0      0      0 
 20260803    14:31:41       1     31     53      -      0      0      0      0      0      0    405    210      0      0     64      2      0      -      -      0      0      0 
 20260803    14:32:11       0     28     44      -      0      0      0      0      0      0    405    210      0      0    470      5      0      -      -      0      0      0 
 20260803    14:32:11       1     31     53      -      0      0      0      0      0      0    405    210      0      0     64      2      0      -      -      0      0      0 
 20260803    14:32:41       0     28     44      -      0      0      0      0      0      0    405    210      0      0    470      5      0      -      -      0      0      0 
 20260803    14:32:41       1     31     53      -      0      0      0      0      0      0    405    210      0      0     64      2      0      -      -      0      0      0 
 20260803    14:33:11       0     29     44      -      0      0      0      0      0      0    405    210      0      0    470      5      0      -      -      0      0      0 
 20260803    14:33:11       1     31     53      -      0      0      0      0      0      0    405    210      0      0     64      2      0      -      -      0      0      0 
 20260803    14:33:41       0     30     45      -      0      0      0      0      0      0    405    210      0      0    904      7      0      -      -      0      0      0 
 20260803    14:33:41       1     32     54      -      0      0      0      0      0      0    405    210      0      0    498      5      0      -      -      0      0      0 
 20260803    14:34:11       0     29     45      -      0      0      0      0      0      0    405    210      0      0    904      7      0      -      -      0      0      0 
 20260803    14:34:11       1     31     54      -      0      0      0      0      0      0    405    210      0      0    498      5      0      -      -      0      0      0 
 20260803    14:34:41       0     29     45      -      0      0      0      0      0      0    405    210      0      0    904      7      0      -      -      0      0      0 
 20260803    14:34:41       1     32     54      -      0      0      0      0      0      0    405    210      0      0    498      5      0      -      -      0      0      0 
 20260803    14:35:11       0     31     46      -      0      0      0      0      0      0    405    210      2      0    904      7      0      -      -      0      0      0 
 20260803    14:35:11       1     33     56      -      0      0      0      0      0      0    405    210      2      0    498      5      0      -      -      0      0      0 
 20260803    14:35:41       0     29     46      -      0      0      0      0      0      0    405    210      0      0    904      7      0      -      -      0      0      0 
 20260803    14:35:41       1     32     55      -      0      0      0      0      0      0    405    210      0      0    498      5      0      -      -      0      0      0 
 20260803    14:36:11       0     29     46      -      0      0      0      0      0      0    405    210      0      0    904      7      0      -      -      0      0      0 
 20260803    14:36:11       1     32     55      -      0      0      0      0      0      0    405    210      0      0    498      5      0      -      -      0      0      0 
 20260803    14:36:41       0     29     45      -      0      0      0      0      0      0    405    210      0      0    904      7      0      -      -      0      0      0 
 20260803    14:36:41       1     32     55      -      0      0      0      0      0      0    405    210      0      0    498      5      0      -      -      0      0      0 
 20260803    14:37:11       0     30     48      -      0      0      0      0      0      0    405    210      6      0    904      7      0      -      -      0      0      0 
 20260803    14:37:11       1     32     58      -      0      0      0      0      0      0    405    210      6      0    498      5      0      -      -      0      0      0 
 20260803    14:37:42       0     30     47      -      0      0      0      0      0      0    405    210      0      0    904      7      0      -      -      0      0      0 
 20260803    14:37:42       1     32     57      -      0      0      0      0      0      0    405    210      0      0    498      5      0      -      -      0      0      0 
 20260803    14:38:12       0     30     47      -      0      0      0      0      0      0    405    210      0      0    904      7      0      -      -      0      0      0 
 20260803    14:38:12       1     32     56      -      0      0      0      0      0      0    405    210      0      0    498      5      0      -      -      0      0      0 
 20260803    14:38:42       0     30     46      -      0      0      0      0      0      0    405    210      0      0    904      7      0      -      -      0      0      0 
 20260803    14:38:42       1     32     56      -      0      0      0      0      0      0    405    210      0      0    498      5      0      -      -      0      0      0 
 20260803    14:39:12       0     29     46      -      0      0      0      0      0      0    405    210      0      0    904      7      0      -      -      0      0      0 
 20260803    14:39:12       1     32     56      -      0      0      0      0      0      0    405    210      0      0    498      5      0      -      -      0      0      0 
 20260803    14:39:42       0     29     46      -      0      0      0      0      0      0    405    210      0      0    904      7      0      -      -      0      0      0 
 20260803    14:39:42       1     32     56      -      0      0      0      0      0      0    405    210      0      0    498      5      0      -      -      0      0      0 
 20260803    14:40:12       0     29     46      -      0      0      0      0      0      0    405    210      0      0    904      7      0      -      -      0      0      0 
 20260803    14:40:12       1     32     55      -      0      0      0      0      0      0    405    210      0      0    498      5      0      -      -      0      0      0 
 20260803    14:40:42       0    191     62      -    100     50      0      0      0      0   9501   1035     30      0   5702      9      0      -      -      0      0      0 
 20260803    14:40:42       1    185     71      -    100     49      0      0      0      0   9501    975     32      0   5295      7      0      -      -      0      0      0 
 20260803    14:41:12       0    100     62      -      0      0      0      0      0      0   9501   2505     37      0   5702      9      0      -      -      0      3      1 
 20260803    14:41:12       1     98     70      -      0      0      0      0      0      0   9501   2505     39      0   5295      7      0      -      -      0      4      1 
 20260803    14:41:42       0    222     68      -      0      0      0      0      0      0   9501   2505     40      0   5702      9      0      -      -      0      0      0 
 20260803    14:41:42       1    229     80      -     66     18      0      0      0      0   9501   2400     42      0   5295      7      0      -      -      0      0      0 
 20260803    14:42:12       0    209     69      -      0      0      0      0      0      0   9501   2505     39      0   5702      9      0      -      -      0      0      0 
 20260803    14:42:12       1    130     76      -      0      0      0      0      0      0   9501   2730     40      0   5295      7      0      -      -      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260803    14:42:42       0    226     73      -     99     36      0      0      0      0   9501   2385     40      0   5990      9      0      -      -      0      0      0 
 20260803    14:42:42       1     52     71      -      0      0      0      0      0      0    405    270     16      0   5295      7      0      -      -      0      0      0 
 20260803    14:43:13       0    231     71      -      0      0      0      0      0      0   9501   2505     33      0   5990      9      0      -      -      0      0      0 
 20260803    14:43:13       1    234     71      -      0      0      0      0      0      0   9501   2535     14      0   5295      7      0      -      -      0      0      0 
 20260803    14:43:43       0    227     72      -      0      0      0      0      0      0   9501   2505     39      0   5992      9      0      -      -      0      0      0 
 20260803    14:43:43       1    236     75      -     52      4      0      0      0      0   9501   2505     40      0   5297      7      0      -      -      0      0      0 
 20260803    14:44:13       0    215     78      -    100     46      0      0      0      0   9501    930     39      0   5992      9      0      -      -      0      0      0 
 20260803    14:44:13       1    192     82      -    100     44      0      0      0      0   9501    870     40      0   5297      7      0      -      -      0      0      0 
 20260803    14:44:43       0    100     72      -     82     43      0      0      0      0   9501   1110     38      0   5992      9      0      -      -      0      4      1 
 20260803    14:44:43       1     84     77      -      0      0      0      0      0      0   9501   2505     39      0   5297      7      0      -      -      0      3      1 
 20260803    14:45:13       0    172     76      -     85     46      0      0      0      0   9501   1005     41      0   5992      9      0      -      -      0      0      0 
 20260803    14:45:13       1    182     81      -     98     32      0      0      0      0   9501   2355     43      0   5297      7      0      -      -      0      0      0 
 20260803    14:45:43       0    133     78      -    100     46      0      0      0      0   9501    930     39      0   5992      9      0      -      -      0      0      1 
 20260803    14:45:43       1     38     69      -      0      0      0      0      0      0    405    210      0      0   5297      7      0      -      -      0      0      0 
 20260803    14:46:13       0     94     77      -     78     40      0      0      0      0   9501    945     30      0   5992      9      0      -      -      0      4      1 
 20260803    14:46:13       1    111     73      -     74     37      0      0      0      0   9501   1230     24      0   5297      7      0      -      -      0      3      1 
 20260803    14:46:43       0    100     72      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      4      1 
 20260803    14:46:43       1    110     75      -      0      0      0      0      0      0   9501   2505     40      0   5297      7      0      -      -      0      3      1 
 20260803    14:47:13       0     92     78      -     72     34      0      0      0      0   9501    945     40      0   5992      9      0      -      -      0      3      1 
 20260803    14:47:13       1     84     81      -      5      0      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      3      1 
 20260803    14:47:43       0    116     79      -    100     52      0      0      0      0   9501    870     40      0   5992      9      0      -      -      0      3      1 
 20260803    14:47:43       1    109     83      -    100     54      0      0      0      0   9501    870     41      0   5297      7      0      -      -      0      3      1 
 20260803    14:48:13       0    238     74      -      0      0      0      0      0      0   9501   2505     41      0   5992      9      0      -      -      0      0      0 
